SNo,ObservationDate,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
40088,2020-06-11 00:00:00,Dadra and Nagar Haveli and Daman and Diu,India,2021-04-02 15:13:53,30.0,0.0,2.0
40092,2020-06-11 00:00:00,Delhi,India,2021-04-02 15:13:53,34687.0,1085.0,12731.0
40122,2020-06-11 00:00:00,Goa,India,2021-04-02 15:13:53,417.0,0.0,67.0
40137,2020-06-11 00:00:00,Gujarat,India,2021-04-02 15:13:53,22032.0,1385.0,15101.0
40142,2020-06-11 00:00:00,Haryana,India,2021-04-02 15:13:53,5968.0,64.0,2260.0
40149,2020-06-11 00:00:00,Himachal Pradesh,India,2021-04-02 15:13:53,470.0,6.0,280.0
40174,2020-06-11 00:00:00,Jammu and Kashmir,India,2021-04-02 15:13:53,4574.0,52.0,1820.0
40177,2020-06-11 00:00:00,Jharkhand,India,2021-04-02 15:13:53,1599.0,8.0,630.0
40195,2020-06-11 00:00:00,Karnataka,India,2021-04-02 15:13:53,6245.0,72.0,2977.0
40198,2020-06-11 00:00:00,Kerala,India,2021-04-02 15:13:53,2244.0,18.0,968.0
40223,2020-06-11 00:00:00,Ladakh,India,2021-04-02 15:13:53,135.0,1.0,54.0
40239,2020-06-11 00:00:00,Madhya Pradesh,India,2021-04-02 15:13:53,10241.0,431.0,7042.0
40245,2020-06-11 00:00:00,Maharashtra,India,2021-04-02 15:13:53,97648.0,3590.0,46078.0
40247,2020-06-11 00:00:00,Manipur,India,2021-04-02 15:13:53,366.0,0.0,73.0
40260,2020-06-11 00:00:00,Meghalaya,India,2021-04-02 15:13:53,44.0,1.0,18.0
40274,2020-06-11 00:00:00,Mizoram,India,2021-04-02 15:13:53,102.0,0.0,1.0
40286,2020-06-11 00:00:00,Nagaland,India,2021-04-02 15:13:53,128.0,0.0,22.0
40327,2020-06-11 00:00:00,Odisha,India,2021-04-02 15:13:53,3386.0,9.0,2354.0
40360,2020-06-11 00:00:00,Puducherry,India,2021-04-02 15:13:53,157.0,2.0,67.0
40364,2020-06-11 00:00:00,Punjab,India,2021-04-02 15:13:53,2887.0,59.0,2259.0
40374,2020-06-11 00:00:00,Rajasthan,India,2021-04-02 15:13:53,11838.0,265.0,8775.0
40422,2020-06-11 00:00:00,Sikkim,India,2021-04-02 15:13:53,14.0,0.0,2.0
40443,2020-06-11 00:00:00,Tamil Nadu,India,2021-04-02 15:13:53,38716.0,349.0,20705.0
40447,2020-06-11 00:00:00,Telangana,India,2021-04-02 15:13:53,4320.0,165.0,1993.0
40464,2020-06-11 00:00:00,Tripura,India,2021-04-02 15:13:53,913.0,1.0,278.0
40478,2020-06-11 00:00:00,Unknown,India,2021-04-02 15:13:53,8315.0,0.0,0.0
40486,2020-06-11 00:00:00,Uttar Pradesh,India,2021-04-02 15:13:53,12088.0,345.0,7292.0
40487,2020-06-11 00:00:00,Uttarakhand,India,2021-04-02 15:13:53,1643.0,15.0,842.0
40513,2020-06-11 00:00:00,West Bengal,India,2021-04-02 15:13:53,9768.0,442.0,3988.0
40722,2020-06-12 00:00:00,Andaman and Nicobar Islands,India,2021-04-02 15:13:53,38.0,0.0,33.0
40723,2020-06-12 00:00:00,Andhra Pradesh,India,2021-04-02 15:13:53,5429.0,80.0,3048.0
40739,2020-06-12 00:00:00,Arunachal Pradesh,India,2021-04-02 15:13:53,61.0,0.0,4.0
40740,2020-06-12 00:00:00,Assam,India,2021-04-02 15:13:53,3319.0,6.0,1432.0
40762,2020-06-12 00:00:00,Bihar,India,2021-04-02 15:13:53,5983.0,36.0,3266.0
40795,2020-06-12 00:00:00,Chandigarh,India,2021-04-02 15:13:53,332.0,5.0,286.0
